val/dice,calibration_method,dropout_rate,lr,val/cls_confmat_00,lr_scheduler,architecture,val/multi,Name,val/loss,val/acc,val/cls_confmat_11,train/lr,val/cls_confmat_01,val/iou,val/auc,opt/lr,val/cls_confmat_10,effective_lr
,f1,0.221060050071739,0.0002983097005869,166,cosine,simple_cnn,,jumping-sweep-2,0.692220038837857,0.580817051509769,161,0.0002983097005869,165,,0.633464423377435,0.0002983097005869,71,0.0002983097005869
,youden,0.192402321855215,0.0001245375284258,212,warmcos,simple_cnn,,smooth-sweep-1,0.684621724817488,0.602131438721137,127,0.0001245375284258,119,,0.589957287217419,0.0001245375284258,105,0.0001245375284258
,f1,0.197699927247151,5.78773944555e-05,148,plateau,simple_cnn,,decent-sweep-1,0.690780017111037,0.559502664298402,167,5.78773944555e-05,183,,0.606000625065111,5.78773944555e-05,65,5.78773944555e-05
,youden,0.209278209078434,0.0001392246889035,175,none,simple_cnn,,exalted-sweep-26,0.689621090888977,0.591474245115453,158,0.0001392246889035,156,,0.620090634441088,0.0001392246889035,74,0.0001392246889035
,f1,0.216445405792818,0.0002938881883353,167,none,simple_cnn,,earnest-sweep-25,0.688229474756453,0.58436944937833,162,0.0002938881883353,164,,0.634714553599333,0.0002938881883353,70,0.0002938881883353
,f1,0.225160582366271,0.0001300517733748,155,none,simple_cnn,,still-sweep-24,0.688326444890764,0.570159857904085,166,0.0001300517733748,176,,0.620194811959579,0.0001300517733748,66,0.0001300517733748
,rate_match,0.214042654641917,4.57879439441e-05,157,plateau,simple_cnn,,resilient-sweep-11,0.696275062031216,0.52753108348135,140,1.11786972519881e-08,174,,0.544008490467757,1.11786972519881e-08,92,4.57879439441e-05
,rate_match,0.217865400921004,4.21266273908e-05,160,none,simple_cnn,,radiant-sweep-23,0.690942390097512,0.566607460035524,159,4.21266273908e-05,171,,0.604984894259819,4.21266273908e-05,73,4.21266273908e-05
,youden,0.220595639526993,0.0001951473115316,207,none,simple_cnn,,winter-sweep-22,0.677797039349874,0.61101243339254,137,0.0001951473115316,124,,0.642475778726951,0.0001951473115316,95,0.0001951473115316
,youden,0.209486518736383,4.50974592436e-05,202,plateau,simple_cnn,,wild-sweep-10,0.696215887864431,0.557726465364121,112,1.10101218856568e-08,129,,0.544028023752474,1.10101218856568e-08,120,4.50974592436e-05
,f1,0.20997619198635,0.0002204647682423,158,none,simple_cnn,,denim-sweep-21,0.691713505321079,0.571936056838366,164,0.0002204647682423,173,,0.623476403792062,0.0002204647682423,68,0.0002204647682423
,rate_match,0.194240521056275,0.0002120885698778,189,cosine,simple_cnn,,likely-sweep-20,0.676814407110214,0.607460035523979,153,3.26899139975716e-07,142,,0.625520887592458,0.0,79,0.0002120885698778
,rate_match,0.188133606416274,0.0001162661566101,158,plateau,simple_cnn,,swept-sweep-9,0.697903725836012,0.536412078152753,144,1.41926460705771e-08,173,,0.547498437337223,1.41926460705771e-08,88,0.0001162661566101
,rate_match,0.219569772711128,0.0002216035548671,158,none,simple_cnn,,rich-sweep-19,0.691158798005846,0.571936056838366,164,0.0002216035548671,173,,0.624140535472445,0.0002216035548671,68,0.0002216035548671
,f1,0.186590187122733,0.0002965450700469,149,none,simple_cnn,,volcanic-sweep-18,0.691982368628184,0.559502664298402,166,0.0002965450700469,182,,0.625130221898114,0.0002965450700469,66,0.0002965450700469
,youden,0.220878997703698,0.0002162058745784,195,cosine,simple_cnn,,bright-sweep-8,0.686783744229211,0.593250444049734,139,3.33245278131316e-07,136,,0.583446192311699,0.0,93,0.0002162058745784
,f1,0.22142849284476,0.0002852438940648,194,cosine,simple_cnn,,glorious-sweep-17,0.677205857303407,0.595026642984014,141,4.39655865032454e-07,137,,0.622682050213564,0.0,91,0.0002852438940648
,rate_match,0.235078006453763,0.0002317865599433,154,cosine,simple_cnn,,earthy-sweep-16,0.677982648213705,0.566607460035524,165,3.57260304725825e-07,177,,0.620207834149391,0.0,67,0.0002317865599433
